militia मिलिशिया
malaria मलेरिया
desperate बेकरार
batch बैच
tearful अश्रुपूरित
restless बेचैन
workout कसरत
bomb बमबारी
wikipedia विकिपीडिया
wrinkles झुर्रियां
blue डीलक्स
response प्रतिक्रिया
continuous निरन्तर
suspension निलंबन
brake ब्रेक
olympics ओलंपिक
listening सुनना
surnames उपनामों
black ब्लैक
emitted उत्सर्जित
quarries खदानों
startup प्रारंभ
honest इमानदार
webpage वेबपृष्ठ
should चाहिए
insurgency उग्रवाद
theatre रंगमंच
ninth नवीं
villages गांवों
irony विडम्बना
elaborate अलंकृत
turnover टर्नओवर
velvet मखमल
unlocked अनलॉक
garden बाग
psychologist मनोवैज्ञानिक
inspectors निरीक्षकों
missed छूटा
jenny जेनी
yin यिन
missile प्रक्षेपास्त्र
judiciary न्यायपालिका
animals पशु
derived निकला
tiki टिकी
elephants हाथियों
ladies महिलाएँ
ponds तालाबों
ali अली
mysterious रहस्यमय
holder होल्डर
but लेकीन
site साइट
western पश्चिमी
ako एको
flirting छेड़खानी
anxieties चिंताओं
procedure प्रक्रिया
open ओपन
nightmare दुःस्वप्न
hillary हिलेरी
umbrella छाता
sarcoma सार्कोमा
privilege विशेषाधिकार
typhoon तूफ़ान
imagination कल्पना
subsidy सब्सिडी
frequencies बारंबारता
blitz बरसाना
its इसकी
relentless अथक
letter अक्षर
uniform वर्दी
encounter एनकाउंटर
failures असफलताओं
osteoporosis ऑस्टियोपोरोसिस
bowling बोलिंग
rubbed मला
super super
cataract मोतियाबिंद
recorded अंकित
horses घोड़े
leads लीड
pubs पब
bound बाध्य
event ईवेंट
snow बर्फ़
decline अस्वीकार
strangeness विचित्रता
redundancy अतिरेक
seconds सेकेंड
eds eds
mechanics यांत्रिकी
irritation जलन
lots लोट
poses मुद्राएँ
agenda कार्यसूची
excuses बहाने
waterfalls झरना
mein mein
atomic परमाणु
occasion अवसर
average औसत
cozy आरामदायक
restriction प्रतिबंध
gaseous गैसीय
civic नागरिक
tenure कार्यकाल
trailer ट्रेलर
pieces टुकड़े
willful ज़िद्दी
franchise मताधिकार
react प्रतिक्रिया
april अप्रैल
jealous ईर्ष्या
went गई
funk दुर्गंध
prohibition निषेध
electricity विद्युत
neighbors पड़ोसी
stumps आउट
myeloma माइलोमा
hypothetical काल्पनिक
plantations बागान
spade हुकम
baron सामन्त
curator क्यूरेटर
friendliness मित्रता
rating दरजा
tawny पिंगल
poo पू
vision दर्शन
flag झंडा
executing निष्पादित
sloppy मैला
unbearable असहनीय
stan स्टेन
splashed छिड़क
muscle पेशी
curtail काटना
ankle टखने
writings लेखन
request आग्रह
caller कॉलर
jumped कूद
monarchy साम्राज्य
slides स्लाइड
hardworking मेहनतकश
ointment मरहम
dirt मैल
union संघ
gauges gauges
authorities अधिकारियों
writ रिट
company कंपनी
paddle चप्पू
happiness सुख
doubt संदेह
giraffes जिराफ
interviews साक्षात्कार
highway हाईवे
many अनेक
una ऊना
differences भिन्नताएं
letter पत्र
subversive विध्वंसकारी
inflation महंगाई
their उनका
subtitles उपशीर्षक
monday सोमवार
intentional जानबूझकर
wales वेल्स
shoulders कन्धों
apart अलावा
motto motto
chum चम
legal विधिक
moves चाल
commonwealth राष्ट्रमंडल
metadata मेटाडाटा
electoral चुनावी
maths गणित
competing स्पर्धा
food भोजन
hen मुर्गी
short छोटी
common कॉमन
iso आईएसओ
ripples लहरें
flight फ़्लाइट
acquaintance परिचितों
literate साक्षर
usa यूएसए
chronology कालक्रम
genius प्रतिभा
bedroom शयनकक्ष
comrades कामरेड
self स्वयं
impractical अव्यवहारिक
revelation रहस्योद्घाटन
glorious गौरव
acumen सूझबूझ
sack बोरी
guidance मार्गदर्शन
afghan अफगान
special विशेष
acceleration त्वरण
barry बैरी
frown तेवर
unimportant महत्वहीन
initiatives पहलों
carrier वाहक
boolean बुलियन
picture पिक्चर
writers लेखकों
android एंड्रॉइड
pudding खीर
clone क्लोन
bigot धर्मांध
nitrate नाइट्रेट
reaches पहुँच
insanity दीवानापन
competitive प्रतिस्पर्धात्मक
destiny नियति
lovely प्यारा
spacing दूरी
champion चैंपियन
vacation छुट्टी
midi मिडी
curve वक्र
realities हकीकत
titanic टाइटैनिक
linguistic भाषाई
yeast खमीर
spice मसाला
neuron न्यूरॉन
tsar त्सार
malnutrition कुपोषण
unseen अनदेखे
cramps ऐंठन
advertiser विज्ञापनदाता
streaming स्ट्रीमिंग
prism प्रिज़्म
electro इलेक्ट्रो
inlet इनलेट
refinery रिफाइनरी
drum ढोल
icon चिह्न
wallpaper वॉलपेपर
contents विषयवस्तु
possession कब्ज़ा
bra bra
channel चैनल
avarice लालच
nowrap nowrap
hav हवलदार
taser तासीर
creativity सृजन
feckless निर्बल
harbinger सूचक
sensory संवेदी
cheating धोखा
tackle निपटने
connectivity कनेक्टिविटी
incurable लाइलाज
points बिंदु
junk जंक
tart तीखा
diagnostics निदान
bras ब्रा
prevents बाधक
themed प्रसंग
sip एसआईपी
browser ब्राउजर
raise उठाएँ
versions संस्करण
rows पंक्तियाँ
devaluation अवमूल्यन
corners किनारे
incessant अनवरत
capable सक्षम
shirt shirt
centralised केंद्रीकृत
superposition अध्यारोपण
path पाथ
millionaires करोड़पति
roster रोस्टर
moody मूडी
ministry मंत्रालय
anonymous अज्ञात
educational शैक्षिक
hybrids संकरण
valid वैध
shadows साए
dynamics डायनामिक्स
blind अंधा
paternal पैतृक
fan पंखा
music म्यूज़िक
phosphate फास्फेट
part पार्ट
wretched अभागा
means यानि
amazement विस्मय
threads थ्रेड
prevail जीतना
mastery क़ाबू
dangerous खतरनाक
lions शेर
farmer किसान
orchestra ऑर्केस्ट्रा
conservative रूढ़िवादी
rogue बदमाश
metro मैट्रो
chromosomes गुणसूत्रों
bone अस्थि
drummer वादक
allowance भत्ता
collection कलेक्शन
shop दूकान
dreams सपनो
servant नौकर
whole पूरा
appeal अपील
farm खेत
bail जमानत
carolina कैरोलिना
inject इंजेक्ट
mountain पहाड़
watermelon तरबूज
nuclear नाभिकीय
pilgrims तीर्थयात्रियों
dab dab
crop फसल
nights राते
traditional पारंपरिक
applause ठहराना
directions निर्देश
welding वेल्डिंग
toshiba तोशिबा
ireland आयरलैंड
electrical विद्युत
choreography कोरियोग्राफी
you आपको
indifference उदासीनता
boxes पेटी
lake झील
patriarchy पितृसत्ता
bitter कड़वा
veil ओट
driver ड्राईवर
dry शुष्क
recurrence आवृत्ति
instrumentation इंस्ट्रुमेंटेशन
exuberant उल्लसित
barbie बार्बी
pessimism निराशावादी
pan पण
topmost शीर्षस्थ
talk बात
circle घेरा
vegetables सब्ज़ियाँ
types प्रकार
grandeur वैभव
footwear जूते
knocked खटखटाया
lush रसीले
unbeaten नाबाद
letters letters
protection संरक्षण
proof प्रूफ
funds निधि
sorting छंटाई
crash क्रैश
slow स्लो
liberalism उदारतावाद
arrangement व्यवस्था
shot गोली
permanent स्थाई
babies शिशु
forecast पूर्वानुमान
soldier सैनिक
reminder अनुस्मारक
jennifer जेनिफर
trending रुझान
reputation प्रतिष्ठा
otherwise वरना
carol कैरोल
rated रेटेड
age आयु
devastated तबाह
they उन्होंने
nav nav
deserves हकदार
case मामला
che छे
mud कीचड़
accessibility पहुँच
seduce आरज़ू
lower निचला
sculptors शिल्पकार
hop hop
basil बेसिल
naked नंगा
elegant सुरुचिपूर्ण
unpleasant अप्रिय
ounces औंस
hum हम
store स्टोर
operator आपरेटर
home गृह
bookmarks पसंद
decorating सजाने
look dekh
hay hay
flavors जायके
protectionism संरक्षणवाद
tabs टैब
apple एप्पल
silence मौन
cute cute
original मूल
merino मेरिनो
logan लोगन
breakthroughs सफलताएँ
rigged धांधली
emotional भावुक
expenses खर्चों
dream सपना
presses दबाता
fence बाड़
scope गुंजाइश
teachings उपदेशों
authentication सत्यापन
preliminary प्रारंभिक
defeated पराजित
triangles त्रिकोण
complete पूरा
glacier ग्लेशियर
purchaser क्रेता
lawn लॉन
amen आमीन
prevention रोकथाम
parliament लोकसभा
calgary कैलगरी
delightful दिलचस्प
handcrafted दस्तकारी
bemused हतप्रभ
service सेवा
revolution क्रान्ति
nice nice
pick पिक
scholarship छात्रवृत्ति
surveyor निरीक्षक
lady महिला
kai kai
benefiting लाभकारी
walrus वालरस
annoyed नाराजगी
staying रहने
firefly जुगनू
interrupted बाधित
interference इंटरफेस
unforgettable अविस्मरणीय
radiation विकिरण
bat बल्ले
expatriate प्रवासी
wore पहना
level स्तर
battle लड़ाई
gram ग्राम
branches शाखाएँ
damage नुक्सान
ribs निकलता
seconds सेकेण्ड
dual दोहरा
corrected संशोधित
buyers खरीदार
codes कोड
bitter कटु
skater स्केटर
hate घृणा
professionalism व्यावसायिकता
reservation आरक्षण
father चचा
world जग
surrounded घिरी
pagerank पेजरैंक
divorce तलाक़
bald गंजा
answers उत्तर
prime प्राइम
carnal अपनी
paid सशुल्क
synonym समानार्थी
rare विरल
tire पहिया
give दे
indebted ऋणी
snake सर्प
half आधी
coding कोडिंग
anecdotes उपाख्यानों
immortality अमरता
deaths मौतों
queues कतारें
established स्थापित
unfettered आज़ाद
yogi योगी
hometown गृहनगर
lang लंग
respective संबंधित
insects कीट
acquaintances परिचित
altruism परोपकार
teachers शिक्षकों
embroidered कढ़ाई
liberty स्वतंत्रता
turtles कछुए
compatible संगत
bauxite बॉक्साइट
emotional emotional
inheritance उत्तराधिकार
valentine वेलेंटाइन
berlin बर्लिन
kind दयालु
hesitation हिचकिचाहट
will करेंगे
girlfriend गर्लफ्रेंड
humanism मानवतावाद
takeover कब्ज़ा
odor गंध
chennai चेन्नई
oppression दमन
deleted विलोपित
destination गंतव्य
roller रोलर
study पढ़ाई
board फलक
jail जेल
hearing सुनने
terrifies उबकाई
positive धनात्मक
ring रिंग
wealthy धनवान
mediation मध्यस्थता
lousy भद्दा
coal कोयले
infrastructure अवसंरचना
duck बत्तख
launch लॉन्च
upset परेशान
swim तैरने
disdain तिरस्कार
dainty रुचिकर
mature परिपक्व
adding जोड़ना
employees कर्मचारी
centimetres सेण्टीमीटर
earthquakes भूकंप
trainers प्रशिक्षकों
liability देयता
asked पूछा
roast रोस्ट
true सच्चा
enormous प्रचुर
slideshows स्लाइडशो
crying रोना
document दस्तावेज
immune प्रतिरक्षा
pony टट्टू
surgery सर्जरी
gesture भाव
seniors सीनियर
radioactive रेडियोसक्रिय
liquefied द्रवित
custard कस्टर्ड
billionaire अरबपति
astro एस्ट्रो
box बक्सा
toss टॉस
campaigns अभियान
patron संरक्षक
committee कमेटी
refresh रिफ्रेश
bandits डाकुओं
changed बदला
surprised अचंभित
cigarette सिगरेट
capture कैप्चर
witness गवाह
partnership साझेदारी
rain बारिश
notch पायदान
peri पेरी
sitar सितार
secretive गुपचुप
scripts स्क्रिप्ट
box बॉक्स
filmmaker फिल्मकार
organizer आयोजक
sudden अचानक
has रै
additive योगात्मक
amnesia स्मृतिलोप
roaring गर्जन
median मध्य
imperceptible अगोचर
orchard बाग़
hammer हथौड़ा
rotating घूर्णन
priory प्रायरी
seized जब्त
ban बैन
daddy पापा
bass बेस
radius त्रिज्या
elected चुनी
brush ब्रश
shuttle शटल
plane प्लेन
check जाँच
broad ब्रॉड
overgrowth अतिवृद्धि
matrix मैट्रिक्स
simplification सरलीकरण
fresh भैस
fog धुंध
podcast पॉडकास्ट
fuck बकवास
shopping खरीदारी
bun बन
dimples डिंपल
candy कैंडी
nondescript विचित्र
oregon ऑरेगॉन
fanny फैनी
guru गुरु
reference संदर्भ
paris पेरिस
manga माँगा
legislature विधानमंडल
jen जेन
lightly हलके
massage massage
structural संरचनात्मक
ancillary आनुषंगिक
strong मज़बूत
barking भौंकने
tenants किरायेदारों
napkin नैपकिन
remainder शेष
blisters फफोले
glam ग्लैमर
voluntary स्वैच्छिक
dwell सहा
seventeenth सत्रहवीं
reno रेनो
terminology शब्दावली
ave एव
richness अमीरी
ratio अनुपात
guillotine गिलोटिन
jake जेक
seat सीट
ligament स्नायु
cucumbers ककड़ी
keith कैथ
gmail जीमेल
cookies कुकी
help मदद
sam सैम
hell नरक
good शुभ
heartless बेरहम
existence अस्तित्व
disguise भेस
explanations स्पष्टीकरण
flight फ्लाइट
liquid तरल
trouble परेशानी
sounds आवाजें
affiliate संबद्ध
formal औपचारिक
objects ऑब्जेक्ट
danish दानिश
gal gal
orientation अभिविन्यास
criminal अपराधी
click click
station स्टेशन
dowry दहेज़
hijab हिजाब
question प्रश्न
effect असर
eunuch नपुंसक
blaster ब्लास्टर
journals दैनिकी
lubricant स्नेहक
organic सशुल्क
regard संबंध
discounted रियायती
billionaires अरबपतियों
seats सीटे
mention जिक्र
scammed धोखाधड़ी
rotated घुमाया
seminary गुरुकुल
throwing फेंकना
van वान
spectroscopy स्पेक्ट्रमिकी
parameter पैरामीटर
supermarket सुपरमार्केट
scope स्कोप
orphaned अनाथ
reject अस्वीकार
cheese चीज़
dipped डूबा
gary गैरी
icon आइकन
days दिन
night रात
treats ट्रीट
alone अकेले
doctor डॉक्टर
population आबादी
pens पेन
assimilation सम्मिलन
fart पाद
pic pic
poet कवि
acquaintance परिचित
nights नाइट्स
migration प्रवास
judgements निर्णयों
irrigation सिंचाई
isolated पृथक
buyer खरीदार
hospital हॉस्पिटल
craigslist क्रेगलिस्ट
badge बिल्ला
dirty गंदा
slowly धीरे
tired थकान
homogeneous समान
ashamed शर्मिंदा
msn एमएसएन
exalt पदोन्नत
module मोड्यूल
jumpers जम्पर
sing गा
selfish स्वार्थी
getaway पलायन
lane लेन
moments लम्हे
alum फिटकरी
ribosome राइबोसोम
fabulous शानदार
blades ब्लेड
foundry फाउंड्री
subcontinent उपमहाद्वीप
productions प्रोडक्शन्स
stationery स्टेशनरी
greece यूनानियों
neighborhood पड़ोस
reeds पत्तियों
foods भोजन
fathom नापना
omit omit
metabolism चयापचय
kid बच्चा
patent पेटेंट
flying उड़न
entire सम्पूर्ण
project परियोजना
container कंटेनर
rapist बलात्कारी
welsh वेल्श
duty कर्तव्य
common सामान्य
mickey मिकी
naming नामकरण
basically मूलतः
greatness विशालता
hologram होलोग्राम
tenacious दृढ़
nirvana निर्वाण
novices नौसिखियों
brevity संक्षेप
stalemate गतिरोध
wedding शादी
sanitation स्वच्छता
images बिंब
general जनरल
trainees प्रशिक्षुओं
lovely प्यारी
pie पाई
record रिकॉर्ड
sitting बैठे
cough खांसी
platform मंच
ivory आइवरी
cleric मौलवी
bat बल्ला
birds पंछी
downloaded डाउनलोड
trade व्यापार
angels फ़रिश्तों
tea चाय
data आँकड़ा
squared वर्गाकार
sufferings कठिनाइयाँ
ohio ओहियो
extensions एक्सटेंशन
magnification आवर्धन
curves वक्र
bookmark बुकमार्क
vii सात
dharma धर्मं
reformist सुधारवादी
align पंक्तिबद्ध
truth सच्चाई
auction नीलामी
flying भिंड
rate दर
diamonds ईंट
rayon रेयान
ladder लैडर
limits लिमिट
day दिन
moments moments
worms कीड़ों
doctor डाक्टर
wars युद्धों
undisclosed अघोषित
breathing साँस
airborne एयरबोर्न
infection संक्रमण
nov नवम्बर
jokes जोक्स
shipping शिपिंग
lurid कराल
checkpoint नाका
shy शर्मीले
masters मास्टर्स
notifying ठेकों
fall गिरना
profit लाभ
course पाठ्यक्रम
flag ध्वज
boson बोसॉन
breaker ब्रेकर
recognise पहिचान
regiment रेजीमेंट
executive कार्यकारी
shilling शिलिंग
inventor आविष्कारक
dainty सुहावना
splitter विभाजक
veer veer
powers शक्तियों
sha शा
subpage subpage
rear पीछे
ongoing जारी
stopped रोका
electrode एलेक्ट्रोड
pixel पिक्सल
workshop कार्यशाला
tolerant सहिष्णु
recovery रिकवरी
patience सब्र
yours तुम्हारी
laser लेज़र
amazing अदभुत
prophet नबी
blatant घोर
sympathy सहानुभूति
accounts खाते
nationalized राष्ट्रीयकृत
decrease घटा
toffee टॉफी
startup स्टार्टअप
events ईवेंट
unreal असत्य
astute चालाक
inch इंच
topography स्थलाकृति
prostitute वैश्या
strength मजबूती
room कमरा
porcupine साही
oblivion भूल
theft चोरी
atlanta अटलांटा
consultants परामर्शदाता
land जमीन
bamboo बाँसुरी
astounding चौंकाने
bathrooms बाथरूम
jacob याक़ूब
glossary शब्दावली
hinder रोकते
salicylic चिरायता
sacked बर्खास्त
whole पूरे
fine जुर्माना
motorcycle मोटरसाइकिल
vigilance सतर्कता
crowbar रम्भा
dubai दुबई
drawing चित्रांकन
pixels पिक्सल
stereo स्टीरियो
patriotism राष्ट्रभक्ति
joe जो
watch देखें
help सहायता
pads पैड
slower धीमा
animals जानवर
lifting उठाने
served परोसा
governments सरकारों
holes छेद
desperation छटपटाहट
vortex भंवर
aspirations आकांक्षाओं
referee रेफरी
chalk चाक
ghost भुत
consequently नतीजतन
television टेलीविजन
idioms मुहावरे
festival पर्व
dubbed उतावले
rash दानों
skype स्काइप
offender अपराधी
traps फन्दा
judge फैसला
cas कैस
intercourse स्तंभन
khan खां
talent हुनर
tenderness कोमलता
wisconsin विस्कॉन्सिन
volcano ज्वालामुखी
pumps पंपों
relativity आपेक्षिकता
ocean महासागर
seventy सत्तर
minorities अल्पसंख्यक
gastrointestinal जठरांत्र
shed शेड
papaya पपीता
lentils दाल
extracted निकाली
profiles प्रोफाइल
hatch हैच
boulder बोल्डर
pee पेशाब
volume आवाज
streets गलियों
peg पेग
materialism भौतिकवाद
commentators टीकाकारों
drought सूखा
rectum मलाशय
divisions विभाजन
bug बग
steps चरण
viewing देखने
mess पंगा
dam बांध
obese मोटे
renowned प्रसिद्ध
allegation लटके
cock मुर्गा
complexity जटिलता
roof छतों
match मिलान
descendant उत्तराधिकारी
vegan शाकाहारी
law विधि
escorts एस्कॉर्ट्स
ohm ओम
gentle कोमल
vet जाँचना
jail कारावास
fork काँटा
cannon तोप
failure नाकामी
sigma सिग्मा
foggy धुंध
money पैसे
smoking स्मोकिंग
filling भरना
first पहले
immortality अमरत्व
sermon उपदेश
researcher शोधकर्ता
babe बेब
electric विद्युत
div div
angles कोण
tunes धुनें
platforms प्लेटफ़ॉर्म
oil तेल
colony उपनिवेशवाद
obese मोटापे
paraphrase भावानुवाद
interference हस्तक्षेप
sari साड़ी
evil तकलीफ़
quickly जल्दी
bar बार
mumps mumps
surroundings परिवेश
contestant प्रतियोगी
matter पदार्थ
page पेज
fennel सौंफ
camp कैम्प
lateral पार्श्ववर्ती
open खोलें
brit ब्रिट
upgrades अपग्रेड
action क्रिया
exposed उजागर
points पॉइंट
logging लॉगिंग
filmography फिल्मोग्राफी
desirable वांछनीय
restored लौटी
brother भाई
backing बैकिंग
return रिटर्न
muslim मुसलमान
bogey दलदली
shower बरसात
suffixes प्रत्यय
femininity स्त्रीत्व
teak सागौन
investigation जांच
forestry वानिकी
bruce ब्रूस
earth पृथ्वी
catalog सूचीपत्र
danced नाचे
now अभी
org org
latin लैटिन
article लेख
chamber कक्ष
respect सम्मान
scary डरावने
witnesses गवाहों
colourful रंगीन
speech स्पीच
destiny भाग्य
accrues उपार्जित
festival त्योहार
signing हस्ताक्षर
multiple अनेक
petals पंखुड़ियों
pissed नाराज
relaxation विश्राम
fame कीर्ति
ago पहले
octane ऑक्टेन
chain चैन
hilarious प्रसन्नचित
bat बैट
hunt हंट
freshness ताजगी
tablet टेबलेट
burn जला
vacuum शून्यता
insidious धूर्त
terrorist आतंकवादी
lines लाइनों
pass दर्रा
regulation विनियम
composed रचित
dual डुअल
elders बुज़ुर्गों
feet पाँव
lover प्रेमी
alma अल्मा
absence अभाव
flyover फ्लाईओवर
summer summer
routine दिनचर्या
globe भूगोल
sins पापों
privatisation निजीकरण
sucks बेकार
single single
unfaithful बेवफा
ideologies विचारधाराओं
massage मालिश
cotton कपास
mould सांचे
finally आखिरकार
figures आंकड़े
blackberry ब्लैकबेरी
our हमारा
airplane विमान
topographic स्थलाकृतिक
cast डाल
corona किरीट
reign शासनकाल
old बूढ़ा
ground मैदान
promotion तरक्की
european यूरोपीय
console कंसोल
take लो
because क्युकी
jack जोकर
tribune ट्रिब्यून
buffet बुफे
oblast ओब्लास्त
naked नग्न
hoe कुदाल
posters पोस्टर
cipher साइफर
adjusted समायोजित
afflict पहुँचकर
checkpoint चौकी
industries उद्योग
harris हैरिस
undefined अपरिभाषित
chestnut शाहबलूत
anthropologists विज्ञानियों
choice चुनाव
town बस्ती
fix फिक्स
bunny बन्नी
looted लूटा
glamorous ग्लैमरस
html html
registration रजिस्ट्रेशन
bag थैला
sky आसमां
conscience ज़मीर
unaware बेखबर
choreographer कोरियोग्राफर
idealism आदर्श
sentence सजा
marching मुक़ाबला
managers प्रबंधक
animated एनिमेटेड
cabin केबिन
pair जोड़ी
outlay व्यय
jacket जैकेट
unknowingly अनजाने
glue गोंद
difference अंतर
emphasis जोर
trivia ट्रिविया
mystics साधकों
workshops कार्यशालाओं
exalted बुलन्द
affiliations संबद्धों
compulsory अनिवार्य
indef indef
square वर्ग
wet गीला
twig टहनी
biker बाइकर
stainless बेदाग
direct direct
bananas केले
owners स्वामी
descriptive वर्णनात्मक
brochures विवरणिका
way रास्ते
presentations प्रस्तुतियों
record रेकार्ड
interested रुचि
penchant झुकाव
pulls खींचता
thick मोटा
order क्रम
leaks रिसाव
blasts धमाकों
mightiest ताकतवर
female स्त्री
parameters पैरामीटर्स
advisor सलाहकार
secularism धर्मनिरपेक्षता
lorry लारी
route मार्ग
encryption एनक्रिप्शन
nevada नेवाडा
buy ख़रीदे
liberalisation उदारीकरण
messenger messenger
embedded अंतःस्थापित
ron रॉन
baht बाट
concubine रखैल
tooltip टूलटिप
litre लीटर
evil बुराई
gasoline गैसोलीन
beauty ब्यूटी
farms खेतो
corner कोना
video वीडियो
measurement माप
disco डिस्को
programmers प्रोग्रामर्स
threads लड़ियाँ
superstructure अधिरचना
fires फ़ायर
biometric बायोमीट्रिक
pentagon पेंटागन
world विश्व
inherit विरासत
bravery वीरता
eat खाओ
warrior योद्धा
terrorists आतंकवादी
zone मण्डल
free मुक्त
blogosphere चिट्ठाकार
wavy लहरिया
capillary केशिका
huge विशाल
dependency निर्भरता
hindi हिन्दी
magnitude परिमाण
hens मुर्गियों
rating दर्जा
maverick अपरंपरागत
friends मित्र
assets संपत्ति
pained दुःखी
google google
winner विजेता
continuous सतत
pages पृष्ठों
inert निष्क्रिय
eighth आठवीं
bunch गुच्छा
tag टैग
clothing कपडे
thighs जांघों
beats बीट्स
interactive इंटरैक्टिव
joining joining
success सफल
solid ठोस
faults त्रुटियां
employees कर्मचारियों
draw चित्रण
musician संगीतकार
cpu सीपीयू
raising उठाने
segments खण्ड
collaboration सहयोग
best बेहतरीन
urgent आवश्यक
hypnotherapy domestic
spout टोंटी
situation स्थिति
stretch खिंचाव
morale मनोबल
legislation विधान
neglected उपेक्षित
packages पैकेज
guide मार्गदर्शिका
rows पंक्ति
tonnes टन
ever कभी
india इंडिया
igloo इग्लू
tutorial ट्यूटोरियल
barely मुश्किल
grooves डोले
minor लघु
honor सम्मान
devils शैतानों
college कॉलेज
calf बछड़ा
vol आवाज़
journey यात्रा
condenser संघनित्र
diligence परिश्रम
null नल
statistics आंकड़े
chronic दीर्घकालिक
satan शैतान
grid ग्रिड
broom झाड़ू
christian क्रिश्चियन
infiltration घुसपैठ
condition स्थिति
malware मैलवेयर
interface इंटरफ़ेस
fastest तीव्रतम
strength ताकत
females महिलाएँ
sewer सीवर
athletic एथलेटिक
collisions टक्करों
watermelon तरबूज़
outdoor आउटडोर
round दौर
training प्रशिक्षण
internet इंटरनेट
trekking ट्रेकिंग
crew दल
detection डिटेक्शन
conditions शर्तों
preference वरीयता
tvs टीवीएस
shah शाह
notifications सूचनाएँ
more ज्यादा
monsoon सावन
feminism नारीवाद
indulgent कृपालु
grande ग्रांडे
greet अभिवादन
computes computes
set नियत
juice रस
ideological वैचारिक
volume आयतन
reserve आरक्षित
cause ध्येय
inconvenient असुविधाजनक
scholar विद्वान
vanity वैनिटी
dune टिब्बा
hello नमस्कार
mirror मिरर
autonomy स्वायत्तता
centre केन्द्र
charm आकर्षण
fly उड़
opposites विरोधी
phosphorus फॉस्फोरस
confirmation पुष्टिकरण
chan चैन
request निवेदन
decrees डिक्री
meridian मध्याह्न
kanji कांजी
stresses तनावों
wire तार
author लेखक
existential अस्तित्व
pretentious धूर्त
factual तथ्यात्मक
above अरदास
oscillator दोलक
dating डेटिंग
carpet कालीनों
argument तर्क
advice सलाह
chemical रसायन
poignant कटु
multipurpose बहुउद्देशीय
permission इजाजत
existence वजूद
cattle ढोर
stock स्टॉक
youtube youtube
forced मजबूर
readiness तत्परता
yes हाँ
jackson जैक्सन
cohort दल
mute म्यूट
foot पैर
sells बिकता
bat चमगादड़
turnip शलजम
networking नेटवर्किंग
cool कूल
tacit अनकहा
neutrino न्यूट्रिनो
gowns गाउन
hostility दुश्मनी
multiply गुणा
piano पियानो
conference सम्मेलन
ambulance एंबुलेंस
train ट्रेन
targets लक्ष्य
twelve बारह
men पुरुषों
blindfold बाँधकर
animal जानवर
cast कास्ट
benchmark बेंचमार्क
outrage आक्रोश
history इतिहास
sir सर
sobriety संयम
rich अमीर
preventive निवारक
muffled दबी
swords तलवारों
snow बर्फ
centimetres सेंटीमीटर
pig सूअर
pictorial सचित्र
entrance प्रवेश
shocked हैरान
hospital चिकित्सालय
logical तार्किक
manager मैनेजर
shortcut शॉर्टकट
problems समस्याएं
msg मेसेज
eng इंग्लैंड
hardware हार्डवेयर
dumplings पकौड़ी
hard कड़ा
value मान
cares केयर
bono बोनो
disney डिज़्नी
circular वृत्ताकार
type क़िस्म
rational तर्कसंगत
battles लड़ाइयों
unwanted अनचाहा
grandiose वैभवशाली
fraud ठगी
measurements माप
angeles एंजिल्स
social सामाजिक
material वस्तु
burden बोझ
later बाद
saffron केसर
turner टर्नर
poisonous जहरीली
theatres थिएटर
features सुविधाएँ
radial रेडियल
chill चिल
offspring संतान
magnesium मैग्नीशियम
hitman हिटमैन
localised स्थानीयकृत
regret पश्चाताप
weekend वीकएंड
nugget डला
specify बताएँ
australia आस्ट्रेलिया
recommend सुझाएँ
women महिलाएं
heights ऊंचाइयों
aborted छोड़ा
poisonous जहरीला
sanction मंजूरी
alloy मिश्रधातु
stubborn जिद्दी
shown दिखाया
impressive प्रभावशाली
electronic इलेक्ट्रॉनिक
interface अंतरफलक
silent चुप
observer निरीक्षक
previous पिछला
structure संरचना
movie चलचित्र
husky शुष्क
built बनवाया
fingerprinting फिंगरप्रिंटिंग
astronomical खगोलीय
gratifying संतोषप्रद
immigrant अप्रवासी
eve संध्या
importance अहमियत
businessman बिजनेसमैन
professions व्यवसायों
phonograph फोनोग्राफ
cameo कैमियो
strong बलवान
rabbi रब्बी
depressed उदास
battery बैटरी
grace ग्रेस
courtiers दरबारियों
graphic ग्राफ़िक
sign चिह्न
frieze वल्लरी
peaks चढे
thyroid थायराइड
success सफलता
parse पार्स
bed bed
nationwide देशभर
cold सर्दी
scooter स्कूटर
credits साभार
rulers शासकों
thousand हजार
close करीब
results परिणाम
encryption एन्क्रिप्शन
revolutionary क्रांतिकारी
why क्यूँ
real असली
substitute स्थानापन्न
threats खतरे
ancestors पूर्वजों
seer मनीषी
yen येन
prices कीमतों
crush क्रश
fucker कमीने
unwell अस्वस्थ
date तारीख
liter लीनियर
soldiers सैनिको
soft मुलायम
templates टेम्पलेट्स
tungsten टंगस्टन
rule शासन
gays समलैंगिकों
glad प्रसन्न
cabinet मंत्रिमंडल
leg लेग
entries प्रविष्टियां
radish मूली
jeep जीपी
persistence हठ
stuttering हकलाना
coughing खाँसी
magnetism चुंबकत्व
slow धीमा
woman महिला
hoof खुर
arbitration मध्यस्थता
smoking धूम्रपान
residence निवास
immeasurable अथाह
chancellor चांसलर
gig टमटम
jealousy ईर्ष्या
marked चिह्नित
successes सफलताएँ
